Date,Smoothed_PC1_Score,Smoothed_PC2_Score,Smoothed_PC3_Score
2015-12-18,1.3431452086045885,-1.2422793324194452,0.18724969577511505
2015-12-21,1.3205576734051514,-1.2482746393842297,0.18774361525740024
2015-12-22,1.2979754346346053,-1.2539418221456438,0.18820849583898333
2015-12-23,1.275400700360541,-1.2592801716613466,0.18864428499514058
2015-12-24,1.252835675542968,-1.264289082724328,0.18905093391629715
2015-12-25,1.2302825617959294,-1.2689680540693313,0.18942839751246493
2015-12-28,1.2077435571495474,-1.2733166884429403,0.1897766344172281
2015-12-29,1.1852208558126016,-1.2773346926373164,0.19009560699128156
2015-12-30,1.1627166479355888,-1.2810218774875999,0.19038528132550847
2015-12-31,1.1402331193743551,-1.284378157832981,0.19064562724361614
2016-01-01,1.1177724514542884,-1.2874035524414895,0.19087661830431035
2016-01-04,1.0953368207351122,-1.2900981838985326,0.19107823180302233
2016-01-05,1.0729283987762968,-1.2924622784592523,0.19125044877318192
2016-01-06,1.0505493519031373,-1.2944961658647682,0.19139325398703722
2016-01-07,1.0282018409734877,-1.296200279122401,0.19150663595602282
2016-01-08,1.0058880211452192,-1.2975751542499632,0.1915905869306768
2016-01-11,0.9836100416443806,-1.2986214299842451,0.1916451029001024
2016-01-12,0.9613700455341422,-1.2993398474538156,0.1916701835909807
2016-01-13,0.9391701694844967,-1.299731249816277,0.1916658324661323
2016-01-14,0.9170125435427702,-1.2997965818601325,0.1916320567226245
2016-01-15,0.894899290904978,-1.2995368895714328,0.1915688672894289
2016-01-18,0.8728325276880149,-1.2989533196653738,0.19147627882463322
2016-01-19,0.8508143627027488,-1.2980471190830503,0.1913543097121948
2016-01-20,0.8288468972279976,-1.296819634453567,0.19120298205825276
2016-01-21,0.8069322247854649,-1.29527231152172,0.19102232168698682
2016-01-22,0.7850724309156036,-1.2934066945414917,0.19081235813602954
2016-01-25,0.7632695929544879,-1.291224425635597,0.19057312465143175
2016-01-26,0.74152577981167,-1.288727244121337,0.1903046581821811
2016-01-27,0.7198430517490846,-1.2859169858030373,0.19000699937427376
2016-01-28,0.698223460160996,-1.2827955822313433,0.1896801925643441
2016-01-29,0.6766690473550298,-1.2793650599296778,0.1893242857728476
2016-02-01,0.6551818463343171,-1.2756275395881573,0.18893933069680227
2016-02-02,0.6337638805807477,-1.2715852352252943,0.18852538270208943
2016-02-03,0.6124171638393985,-1.2672404533178134,0.1880825008153098
2016-02-04,0.5911436999041141,-1.2625955918989171,0.18761074771520506
2016-02-05,0.5699454824043119,-1.2576531396253732,0.1871101897236366
2016-02-08,0.5488244945929903,-1.2524156748137667,0.18658089679612955
2016-02-09,0.5277827091359925,-1.2468858644463092,0.18602294251198065
2016-02-10,0.5068220879025417,-1.2410664631465946,0.18543640406392947
2016-02-11,0.48594458175706245,-1.2349603121256858,0.18482136224740014
2016-02-12,0.46515213035233227,-1.2285703380989623,0.18417790144930765
2016-02-15,0.4444466619239529,-1.2218995521741334,0.18350610963643443
2016-02-16,0.4238300930862012,-1.2149510487108568,0.18280607834338314
2016-02-17,0.40330432862925075,-1.207728004152404,0.18207790266009288
2016-02-18,0.382871261317809,-1.2002336758298222,0.18132168121894027
2016-02-19,0.36253277169118386,-1.192471400739058,0.1805375161814086
2016-02-22,0.342290727864789,-1.1844445942915094,0.1797255132243385
2016-02-23,0.3221469853331385,-1.1761567490384974,0.17888578152575976
2016-02-24,0.30210338677432563,-1.167611433370137,0.17801843375029985
2016-02-25,0.2821617618560192,-1.158812290189116,0.1771235860341817
2016-02-26,0.26232392704299556,-1.1497630355598876,0.17620135796980158
2016-02-29,0.24259168540624307,-1.140467457333798,0.1752518725898983
2016-03-01,0.2229668264336152,-1.130929413750673,0.1742752563513089
2016-03-02,0.20345112584212352,-1.1211528320173971,0.1732716391183183
2016-03-03,0.18404634539182155,-1.1111417068640381,0.17224115414559998
2016-03-04,0.16475423270133993,-1.1009000990780562,0.17118393806075358
2016-03-07,0.1455765210650866,-1.0904321340171663,0.17010013084644282
2016-03-08,0.12651492927212532,-1.0797420001014206,0.16898987582212718
2016-03-09,0.10757116142675455,-1.0688339472850716,0.16785331962540453
2016-03-10,0.08874690677081026,-1.057712285508825,0.1666906121929505
2016-03-11,0.07004383950770787,-1.0463813831330393,0.16550190674107249
2016-03-14,0.05146361862824635,-1.0348456653524867,0.16428735974586767
2016-03-15,0.033007887738186574,-1.0231096125932762,0.16304713092299442
2016-03-16,0.01467827488763554,-1.0111777588925355,0.1617813832070634
2016-03-17,-0.0035236075977617084,-0.9990546902614745,0.16049028273063798
2016-03-18,-0.021596163283788532,-0.9867450430324475,0.15917399880286062
2016-03-21,-0.03953781179277335,-0.9742535021906381,0.1578327038877005
2016-03-22,-0.05734698896683122,-0.961584799690992,0.15646657358182472
2016-03-23,-0.07502214702922298,-0.9487437127610459,0.1550757865920989
2016-03-24,-0.0925617547437957,-0.9357350621902748,0.15366052471272018
2016-03-25,-0.10996429757251913,-0.9225637106066132,0.15222097280198107
2016-03-28,-0.12722827783105667,-0.9092345607407978,0.15075731875867138
2016-03-29,-0.14435221484239394,-0.8957525536791757,0.14926975349812077
2016-03-30,-0.16133464508849146,-0.8821226671056411,0.14775847092788064
2016-03-31,-0.17817412235993807,-0.8683499135333621,0.14622366792305622
2016-04-01,-0.1948692179036045,-0.8544393385269476,0.1446655443012827
2016-04-04,-0.21141852056827007,-0.8403960189157345,0.1430843027973563
2016-04-05,-0.2278206369482069,-0.826225060998851,0.14148014903751702
2016-04-06,-0.24407419152471566,-0.8119315987427331,0.1398532915133944
